catchTrial,actionExecuted,RTpress,congruency,SOAactual,delay,synchrony,RTsynchrony,respCatch,correctCatch,RTCatch,subject
0,1,0.35893129825592,1,-0.0417361974716186,1,0,1.87076234817505,NaN,NaN,NaN,1
0,2,0.609348483085632,2,-0.166944789886475,0,1,1.65564918518066,NaN,NaN,NaN,1
1,2,0.342236819267273,1,0.141903071403503,0,0,1.21818780899048,0,1,1.07231593132019,1
0,2,0.409014735221863,2,0.116861352920532,0,0,1.42696499824524,NaN,NaN,NaN,1
0,1,0.442403693199158,2,-0.125208592414856,1,1,1.6279296875,NaN,NaN,NaN,1
1,1,0.417361974716187,2,0.0667779159545898,1,0,1.16304397583008,0,1,1.08290886878967,1
0,2,0.550917806625366,1,-0.166944789886475,0,0,2.32364320755005,NaN,NaN,NaN,1
0,2,0.434056453704834,1,-0.0667779159545898,0,1,0.884840250015259,NaN,NaN,NaN,1
1,1,0.567612285614014,1,-0.250417184829712,1,0,1.83133888244629,1,1,1.08322215080261,1
0,1,0.542570567131042,1,-0.0333889579772949,1,1,1.50438165664673,NaN,NaN,NaN,1
0,2,0.350584058761597,1,0.325542340278625,0,0,1.42790102958679,NaN,NaN,NaN,1
1,2,0.367278537750244,1,0.166944789886475,0,1,1.23960876464844,0,1,1.0245189666748,1
1,2,0.459098172187805,1,-0.175292029380798,0,0,1.62662434577942,0,1,1.08599710464478,1
0,1,0.325542340278625,1,0.300500621795654,1,0,1.28177285194397,NaN,NaN,NaN,1
0,2,0.442403693199158,1,0.20033374786377,0,0,1.4154155254364,NaN,NaN,NaN,1
0,2,0.300500621795654,2,0.166944789886475,0,0,0.819839000701904,NaN,NaN,NaN,1
0,2,0.442403693199158,2,0.0500834369659424,0,0,1.31657361984253,NaN,NaN,NaN,1
0,1,0.409014735221863,2,-0.217028226852417,1,0,0.827970743179321,NaN,NaN,NaN,1
0,2,0.609348483085632,2,-0.100166873931885,0,0,1.42740082740784,NaN,NaN,NaN,1
0,1,0.42570921421051,2,0.0751251554489136,1,1,0.997318983078003,NaN,NaN,NaN,1
0,1,0.350584058761597,1,-0.0417361974716186,1,0,1.43090486526489,NaN,NaN,NaN,1
0,2,0.659431920051575,1,-0.141903071403503,0,0,1.98803877830505,NaN,NaN,NaN,1
0,2,0.509181609153748,1,0.0751251554489136,0,0,1.69498944282532,NaN,NaN,NaN,1
1,2,0.375625777244568,2,0.108514113426208,0,0,2.11069655418396,1,1,1.1340069770813,1
0,2,0.450750932693481,2,0.0166944789886475,0,0,1.73163080215454,NaN,NaN,NaN,1
0,1,0.300500621795654,1,0.100166873931885,1,1,0.869035482406616,NaN,NaN,NaN,1
0,1,0.400667495727539,1,0,1,1,1.49583768844604,NaN,NaN,NaN,1
0,1,0.308847861289978,1,0.13355583190918,1,0,1.27217221260071,NaN,NaN,NaN,1
0,1,0.450750932693481,1,-0.0500834369659424,1,1,1.51991581916809,NaN,NaN,NaN,1
0,2,0.325542340278625,2,0.0333889579772949,0,1,0.885524034500122,NaN,NaN,NaN,1
0,2,0.4924871301651,1,0.0333889579772949,0,0,1.89228343963623,NaN,NaN,NaN,1
1,2,0.634390201568603,1,-0.0417361974716186,0,0,2.20535588264465,0,1,1.55241394042969,1
0,1,0.325542340278625,1,0.275458903312683,1,0,1.48683738708496,NaN,NaN,NaN,1
0,2,0.434056453704834,2,-0.250417184829712,0,0,1.25381302833557,NaN,NaN,NaN,1
0,1,0.392320256233215,2,-0.0500834369659424,1,0,1.41512489318848,NaN,NaN,NaN,1
0,1,0.442403693199158,1,-0.166944789886475,1,0,1.29572987556458,NaN,NaN,NaN,1
0,2,0.392320256233215,2,0,0,1,1.68799424171448,NaN,NaN,NaN,1
0,1,0.409014735221863,1,0.091819634437561,1,1,2.08660197257996,NaN,NaN,NaN,1
0,2,0.484139890670776,1,-0.0667779159545898,0,1,1.745041847229,NaN,NaN,NaN,1
0,2,0.442403693199158,1,-0.00834723949432373,0,0,1.88717699050903,NaN,NaN,NaN,1
0,1,0.392320256233215,2,-0.0584306764602661,1,0,1.69874405860901,NaN,NaN,NaN,1
0,2,0.509181609153748,2,-0.0417361974716186,0,1,1.0538809299469,NaN,NaN,NaN,1
0,1,0.584306764602661,2,-0.0250417184829712,1,0,1.35551047325134,NaN,NaN,NaN,1
0,2,0.525876088142395,1,0.0751251554489136,0,0,1.03910350799561,NaN,NaN,NaN,1
1,2,0.367278537750244,2,0.108514113426208,0,0,1.78070688247681,1,1,1.35529017448425,1
0,1,0.375625777244568,1,0.0500834369659424,1,0,2.5017683506012,NaN,NaN,NaN,1
0,1,0.409014735221863,1,0.0500834369659424,1,0,2.2022705078125,NaN,NaN,NaN,1
0,1,0.442403693199158,1,-0.00834723949432373,1,1,2.72806191444397,NaN,NaN,NaN,1
0,2,0.392320256233215,1,0.125208592414856,0,0,1.90663504600525,NaN,NaN,NaN,1
0,2,0.517528848648071,2,0.0500834369659424,0,1,0.870945453643799,NaN,NaN,NaN,1
0,1,0.392320256233215,1,0.0500834369659424,1,0,1.80707693099976,NaN,NaN,NaN,1
0,1,0.417361974716187,2,-0.242069945335388,1,0,0.956094264984131,NaN,NaN,NaN,1
0,2,0.342236819267273,2,0.333889579772949,0,0,1.28772187232971,NaN,NaN,NaN,1
0,1,0.62604296207428,2,0.0333889579772949,1,0,1.41267085075378,NaN,NaN,NaN,1
0,1,0.35893129825592,2,0.141903071403503,1,0,1.63349485397339,NaN,NaN,NaN,1
0,1,0.442403693199158,1,0.0417361974716186,1,1,0.806093454360962,NaN,NaN,NaN,1
0,1,0.459098172187805,1,-0.141903071403503,1,0,1.61507940292358,NaN,NaN,NaN,1
0,1,0.300500621795654,1,0.0667779159545898,1,0,1.10174226760864,NaN,NaN,NaN,1
0,2,0.467445411682129,1,-0.091819634437561,0,0,1.54375529289246,NaN,NaN,NaN,1
0,2,0.475792651176453,1,0.0751251554489136,0,0,1.41318392753601,NaN,NaN,NaN,1
